,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
0,Abietinella abietina,granmose,17,Abietinella abietina,,64749,104789,Abietinella abietina,(Hedw.) M.Fleisch.,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Abietinella,,,,Plantae Bryophyta Bryopsida Hypnales Thuidiaceae Abietinella,granmose,granmose,,5283402
1,Acarospora sinopica,rustsprekklav,1,Acarospora sinopica,,41236,65263,Acarospora sinopica,(Wahlenb.) Körber,species,,,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Acarosporales Acarosporaceae Acarospora,rustsprekklav,,,2600524
2,Acaulon muticum,vortesvøpmose,1,Acaulon muticum,,64842,104882,Acaulon muticum,(Hedw.) Müll.Hal.,species,,,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Acaulon,,,,Plantae Bryophyta Bryopsida Pottiales Pottiaceae Acaulon,vortesvøpmose,vortesveipmose,,5280933
3,Acer platanoides,spisslønn,1,Acer platanoides,,63519,103559,Acer platanoides,L.,species,,,Plantae,Magnoliophyta,Eudicots,Sapindales,Sapindaceae,Acer,,,,Plantae Magnoliophyta Eudicots Sapindales Sapindaceae Acer,spisslønn,spisslønn,,3189846
4,Achillea millefolium,ryllik,20,Achillea millefolium,,145524,100392,Achillea millefolium,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Achillea,ryllik,ryllik,,3120060
5,Achillea ptarmica,nyseryllik,5,Achillea ptarmica,,129993,100396,Achillea ptarmica,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Achillea,nyseryllik,nyseryllik,,3120333
6,Acinos arvensis,bakkemynte,9,Acinos arvensis,,130008,102267,Acinos arvensis,(Lam.) Dandy,species,,,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Acinos,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Acinos,bakkemynte,bakkemynte,,2927116
7,Aconitum septentrionale,tyrihjelm,7,Aconitum septentrionale,,160600,143437,Aconitum septentrionale,Koelle,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Aconitum,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Aconitum,tyrihjelm,tyrihjelm,,6374443
8,Actaea spicata,trollbær,1,Actaea spicata,,63041,103081,Actaea spicata,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Actaea,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Actaea,trollbær,trollbær,,5371473
9,Aegopodium podagraria,skvallerkål,3,Aegopodium podagraria,,60212,100252,Aegopodium podagraria,L.,species,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Aegopodium,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Aegopodium,skvallerkål,skvallerkål,,3034620
10,Agrimonia eupatoria,åkermåne,2,Agrimonia eupatoria,,63177,103217,Agrimonia eupatoria,L.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Agrimonia,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Agrimonia,åkermåne,åkermåne,,3001956
11,Agrostis canina,hundekvein,6,Agrostis canina,,130089,99866,Agrostis canina,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,hundekvein,hundekvein,,2706465
12,Agrostis capillaris,engkvein,38,Agrostis capillaris,,130092,99867,Agrostis capillaris,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,engkvein,engkvein,,2706490
13,Agrostis mertensii,fjellkvein,4,Agrostis mertensii,,130111,99869,Agrostis mertensii,Trin.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,fjellkvein,fjellkvein,,2706518
14,Agrostis stolonifera,krypkvein,11,Agrostis stolonifera,,144917,99871,Agrostis stolonifera,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,krypkvein,krypkvein,,2706435
15,Agrostis vinealis,bergkvein,1,Agrostis vinealis,,130129,99874,Agrostis vinealis,Schreb.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,bergkvein,bergkvein,,2706458
16,Aira praecox,dvergsmyle,2,Aira praecox,,130135,99877,Aira praecox,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Aira,,,,Plantae Magnoliophyta Monocots Poales Poaceae Aira,dvergsmyle,dvergsmyle,,5289582
17,Ajuga pyramidalis,jonsokkoll,2,Ajuga pyramidalis,,62233,102273,Ajuga pyramidalis,L.,species,,,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Ajuga,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Ajuga,jonsokkoll,jonsokkoll,,8429926
18,Alchemilla alpina,fjellmarikåpe,15,Alchemilla alpina,,63181,103221,Alchemilla alpina,L.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,fjellmarikåpe,fjellmarikåpe,,3027648
19,Alchemilla filicaulis,grannmarikåpe,1,Alchemilla filicaulis,,130152,103225,Alchemilla filicaulis,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,grannmarikåpe,grannmarikåpe,,3027485
20,Alchemilla glabra,glattmarikåpe,16,Alchemilla glabra,,130155,103228,Alchemilla glabra,Neygenf.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,glattmarikåpe,glattmarikåpe,,3027640
21,Alchemilla glaucescens,fløyelsmarikåpe,4,Alchemilla glaucescens,,130159,103229,Alchemilla glaucescens,Wallr.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,fløyelsmarikåpe,fløyelsmarikåpe,,3027452
22,Alchemilla glomerulans,kildemarikåpe,11,Alchemilla glomerulans,,130160,103230,Alchemilla glomerulans,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,kildemarikåpe,kjeldemarikåpe,,3028402
23,Alchemilla micans,glansmarikåpe,3,Alchemilla micans,,130164,103232,Alchemilla micans,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,glansmarikåpe,glansmarikåpe,,3027791
24,Alchemilla monticola,beitemarikåpe,1,Alchemilla monticola,,130167,103234,Alchemilla monticola,Opiz,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,beitemarikåpe,beitemarikåpe,,3028763
25,Alchemilla spp.,marikåper,1,Alchemilla,,63179,103219,Alchemilla,L.,genus,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae,marikåpeslekta,marikåpeslekta,,3027437
26,Alchemilla subcrenata,engmarikåpe,4,Alchemilla subcrenata,,130172,103244,Alchemilla subcrenata,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,engmarikåpe,engmarikåpe,,3028176
27,Alchemilla wichurae,skarmarikåpe,6,Alchemilla wichurae,,130180,103247,Alchemilla wichurae,(Buser) Stefansson,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,skarmarikåpe,skarmarikåpe,,3027538
