gbifKey,count
3172211,1195
3172358,11641
3188736,36055
3188743,1165
3188783,18
3189068,236
3189080,1485
3189153,191
3189158,99
3189174,72
3189486,28205
3189645,605
3189747,9695
3189755,5400
3189767,28854
3189846,27270
3190932,2104
3191030,13136
3191157,5916
3191374,2925
3191414,624
3390030,1955
3391629,13
3407931,168
3423777,44
3431565,2512
3434752,38
3602353,18
3612876,425
3666788,106
3666800,362
3735603,166
3753330,544
3757720,99
3758161,2
3816070,884
3840575,272
3901967,1837
3928615,696
3928928,770
3992299,392
4007442,3212
4088825,168
4104731,35
4108861,535
4109084,1352
4112404,450
4118973,2684
4120665,146
4125878,195
4133640,135
4144915,63
4149465,1591
4151143,75
4270535,43
4276912,1521
4276969,40
4277076,6
4277450,16
4278752,7
4279191,50
4279330,6
4279479,2443
4279903,167
4280791,95
4280844,12
4889932,4106
4921778,1347
4921779,81
5238786,683
5258341,207
5259681,223
5260484,230
5260486,331
5260496,254
5260507,43
5260521,301
5260530,73
5260557,178
5260758,134
5261195,143
5261197,38
5261206,129
5261338,856
5261340,228
5261360,23
5261362,117
5261370,1
5261371,329
5261373,14
5261384,51
5261385,223
5261391,46
5261396,460
5261403,25
5261526,305
5270837,16
5274951,5561
5275012,39841
5275044,17020
5275045,698
5275102,4314
5275110,2322
5275132,13789
5275447,10
5280020,453
5280149,523
5280154,44
5280176,71
5280231,67
5280675,215
5280927,157
5280933,16
5281267,411
5281381,3099
5281431,849
5281453,86
5281481,6
5281515,7
5281645,152
5281758,50
5282184,25
5282299,12
5282360,101
5282428,20
5282505,12
5282529,703
5282607,2
5282610,262
5282635,152
5282688,2530
5282690,27
5282711,27
5282904,935
5282914,1286
5283402,528
5283419,14
5283423,645
5283424,33
5283502,213
5283520,9
5283780,2229
5283946,24
5283962,148
5283980,58
5284884,14400
5285637,27801
5286285,26
5286294,12
5286299,4
5286350,559
5286358,18
5286360,10
5286361,74
5286381,401
5289423,17735
5289461,4161
5289582,880
5289756,10008
5289773,37
5289845,3211
5289877,1969
5290056,83
5290058,21
5290083,1718
5290087,162
5290090,1046
5290140,87
5290149,31804
5290319,812
5295911,7987
5298231,19180
5300245,4922
5306901,334
5313015,342
5314276,91
5318958,3427
5331235,10084
5331258,2898
5331268,2596
5331325,1771
5331347,9013
5331355,2171
5331391,897
5331916,17330
5332004,1578
5333323,1785
5333379,923
5333412,3261
5333413,4676
5334190,3653
5334208,9158
5334217,6547
5334220,12126
5334259,9136
5334277,6033
5334283,115
5341170,6970
5341182,1774
5341184,7944
5341190,1252
5341246,1282
5341297,53100
5341300,7353
5341303,3936
5341305,3576
5341443,4348
5341478,9723
5341511,7509
5343710,371
5344527,85
5345014,1460
5346998,3506
5352367,7573
5356393,2093
5356623,4881
5356701,11518
5356704,8355
5356714,6093
5357013,36144
5358748,56430
5358812,6580
5358935,2999
5359246,13699
5361156,129
5361815,5304
5362007,13733
5362008,8456
5362038,301
5362043,113
5365576,8507
5365824,55
5366215,270
5366510,186
5367620,91
5369652,17150
5369701,10433
5371473,3503
5371685,28358
5371742,24216
5371781,951
5371809,243
5371818,12684
5371864,2785
5372554,288
5372605,5296
5372647,1456
5372693,1275
5372706,558
5372778,232
5372829,2292
5372876,1085
5373083,782
5373276,1276
5373421,144
5373533,3950
5373823,17
5374614,881
5375020,908
5375388,29658
5376000,3767
5376075,62320
5376179,197
5383726,407
5384481,39
5384492,36
5384598,85
5384604,26249
5384607,82
5384616,10237
5384620,767
5384660,179
5384671,160
5384754,4860
5384781,5508
5384795,22989
5384805,36759
5385561,230
5385604,4663
5389029,12587
5390848,2779
5391710,4658
5391862,2693
5394023,75
5394085,15
5394163,59751
5403296,1456
5403508,2531
5404542,610
5405976,3411
5410436,10598
5410907,15922
5411408,2438
5411475,7854
5411919,249
5412014,8192
5414202,5778
5414323,96
5414469,1673
5414995,26391
5415020,31805
5415065,4459
5420852,7677
5470072,43
5472694,11
5531229,542
5567575,158
5567578,1251
5585088,57
5602614,2202
5663291,1
5687974,1246
5708780,16943
5710073,348
5710075,40
5710080,16
5710214,57
5710219,188
5710930,3314
5836563,38
5894842,128
5939583,260
6027128,3200
6035873,233
6109535,10092
6345640,86
6363434,3231
6363496,2121
6364299,272
6364634,200
6374443,3259
6375524,679
6391150,832
6391194,7606
6400569,4508
6431455,9367
6431740,960
6437017,3748
6446462,11133
6449159,77
6606832,281
6606867,502
6607819,404
6608882,353
6609452,39
7065260,114
7070297,32
7096053,195
7103891,3098
7103992,119
7104074,342
7135733,3
7225596,122
7226847,74
7226886,172
7227152,6
7227967,450
7246646,2536
7246650,168
7246653,1161
7246667,149
7246697,950
7246887,2
7247041,268
7247092,2
7247205,344
7248528,378
7248635,3612
7248995,404
7259120,3
7259189,3036
7266593,82
7266759,195
7267782,188
7270427,1815
7270598,4149
7293605,380
7295092,139
7296242,1704
7296247,495
7296321,6305
7314960,91
7315537,160
7331633,1204
7333052,792
7334631,1497
7339315,5462
7380493,59
7430843,28
7444070,11
7475861,4
7493910,61
7502876,46
7530037,69
7719474,100
7749266,87
7768329,15
7794762,3
7807570,62
7890013,27
7892639,145
8068424,70
8128391,140
8153621,4324
8184903,27623
8248593,6375
8272844,5431
8324121,54402
8353084,14
8353146,2215
8428006,1
8429926,1442
8448846,73
8475761,74
8490890,33
8541101,143
8547806,12
8548704,1
8597701,117
8605056,2002
8657424,185
8716641,235
9094061,44510
9100915,4148
9118014,3929
9148812,1287
9153437,87
9458333,7729
10025353,118
10673235,24
10799484,404
