,Unnamed: 0,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
1041,1041,Sonchus oleraceus,haredylle,3,Sonchus oleraceus,,60790,100830,Sonchus oleraceus,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Sonchus,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Sonchus,haredylle,haredylle,,3105754.0
1042,1042,Sorbus aucuparia,rogn,8,Sorbus aucuparia,,137885,103483,Sorbus aucuparia,L.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Sorbus,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Sorbus,rogn,rogn,,3012167.0
1043,1043,Sorbus hybrida,rognasal,2,Sorbus hybrida,,137899,103486,Sorbus hybrida,L.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Sorbus,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Sorbus,rognasal,rognasal,,3012400.0
1044,1044,Sparganium emersum,rankpiggknopp,2,Sparganium emersum,,137933,100236,Sparganium emersum,Rehmann,species,,,Plantae,Magnoliophyta,Monocots,Poales,Typhaceae,Sparganium,,,,Plantae Magnoliophyta Monocots Poales Typhaceae Sparganium,rankpiggknopp,stautpiggknopp,,2702266.0
1045,1045,Sparganium erectum,kjempepiggknopp,1,Sparganium erectum,,137934,100237,Sparganium erectum,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Typhaceae,Sparganium,,,,Plantae Magnoliophyta Monocots Poales Typhaceae Sparganium,kjempepiggknopp,kjempepiggknopp,,2702321.0
1046,1046,Sparganium natans,småpiggknopp,1,Sparganium natans,,137953,100243,Sparganium natans,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Typhaceae,Sparganium,,,,Plantae Magnoliophyta Monocots Poales Typhaceae Sparganium,småpiggknopp,småpiggknopp,,2702384.0
1047,1047,Spergula arvensis,linbendel,5,Spergula arvensis,,137956,101575,Spergula arvensis,L.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Spergula,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Spergula,linbendel,linbendel,,3085810.0
1048,1048,Spergula morisonii,vårbendel,2,Spergula morisonii,,137965,101580,Spergula morisonii,Boreau,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Spergula,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Spergula,vårbendel,vårbendel,,3085811.0
1049,1049,Spergularia media,havbendel,1,Spergularia media,,144200,101582,Spergularia media,(L.) C.Presl,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Spergularia,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Spergularia,havbendel,havbendel,,3085640.0
1050,1050,Spergularia salina,saltbendel,4,Spergularia salina,,137987,101585,Spergularia salina,J.Presl & C.Presl,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Spergularia,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Spergularia,saltbendel,saltbendel,,3085648.0
