gbif_id,name_latin,name_nb,basestreng,basestreng_codes,basestreng_layers,v23_minor_types,n_minor_types,v30_basestreng,alignment_status,notes
5710930,Plagiothecium undulatum,kystjamnemose,"v[O3–O1],s-[UF∙b|c]","[""v"", ""s-""]","[""v"", ""s-""]",T4-1,1,,pending,
3189747,Plantago media,dunkjempe,s+[KA∙h|g],"[""s+""]","[""s+""]","T4-8,T4-12",2,,pending,
9213153,Platanthera bifolia,nattfiol,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-3,1,,pending,
2797913,Platanthera chlorantha,grov nattfiol,s-[KA∙f|e],"[""s-""]","[""s-""]","T4-3,T4-4",2,,pending,
2679715,Pleurozium schreberi,furumose,m*;v*;s-[UF∙f|g],"[""m*"", ""v*"", ""s-""]","[""m*"", ""v*"", ""s-""]","T4-9,T4-10",2,,pending,
2679715,Pleurozium schreberi,furumose,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]","T4-5,T4-6",2,,pending,
2679715,Pleurozium schreberi,furumose,m;v*;s-[UF∙c|b],"[""m"", ""v*"", ""s-""]","[""m"", ""v*"", ""s-""]","T4-7,T4-8",2,,pending,
2679715,Pleurozium schreberi,furumose,m;v*;s-[UF∙f|g],"[""m"", ""v*"", ""s-""]","[""m"", ""v*"", ""s-""]","T4-11,T4-12",2,,pending,
2679715,Pleurozium schreberi,furumose,v,"[""v""]","[""v""]","T4-4,T4-15,T4-16,T4-17,T4-19,T4-20",6,,pending,
2679715,Pleurozium schreberi,furumose,v*,"[""v*""]","[""v*""]","T4-1,T4-13",2,,pending,
2679715,Pleurozium schreberi,furumose,v*;m,"[""v*"", ""m""]","[""v*"", ""m""]",T4-14,1,,pending,
2679715,Pleurozium schreberi,furumose,v*;s-[KA∙e|f],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-2,1,,pending,
2679715,Pleurozium schreberi,furumose,v*;s-[KA∙g|h],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-3,1,,pending,
2704300,Poa nemoralis,lundrapp,"v;s+[KA∙f|e],s+[UF·b|c]","[""v"", ""s+"", ""s+""]","[""v"", ""s+"", ""s+""]",T4-3,1,,pending,
2704300,Poa nemoralis,lundrapp,v;s-[UF·b|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-4,1,,pending,
5282610,Pohlia nutans,vegnikke,"v;s-[KA·c|d],s-[UF·e|d]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-9,1,,pending,
5282610,Pohlia nutans,vegnikke,"v;s-[KA·c|d],s-[UF·g|f]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-13,1,,pending,
5282610,Pohlia nutans,vegnikke,"v;s-[KA·e|f],s-[UF·g|f]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-14,1,,pending,
2927850,Polemonium caeruleum,fjellflokk,,,,T4-18,1,,pending,
3191374,Polygala vulgaris,storblåfjær,s+[UF∙e|d],"[""s+""]","[""s+""]",T4-20,1,,pending,
3191374,Polygala vulgaris,storblåfjær,v,"[""v""]","[""v""]",T4-12,1,,pending,
2770228,Polygonatum odoratum,kantkonvall,s+[KA∙g|f],"[""s+""]","[""s+""]",T4-15,1,,pending,
2770228,Polygonatum odoratum,kantkonvall,"s+[KA∙h|g],s-[UF·e|d]","[""s+"", ""s-""]","[""s+"", ""s-""]",T4-12,1,,pending,
2770228,Polygonatum odoratum,kantkonvall,v*;s+[KA∙h|g],"[""v*"", ""s+""]","[""v*"", ""s+""]",T4-16,1,,pending,
2770004,Polygonatum verticillatum,kranskonvall,s+[KA·f|e],"[""s+""]","[""s+""]",T4-18,1,,pending,
5274951,Polypodium vulgare,sisselrot,v;s-[UF∙g|f],"[""v"", ""s-""]","[""v"", ""s-""]","T4-14,T4-15",2,,pending,
7319269,Polystichum aculeatum,falkbregne,s-[KA·h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
2651092,Polystichum braunii,junkerbregne,s-[KA·h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
2651113,Polystichum lonchitis,taggbregne,s-[KA·h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
2683084,Polytrichum commune,storbjørnemose,v,"[""v""]","[""v""]","T4-5,T4-9",2,,pending,
4280088,Polytrichum formosum,kystbjørnemose,v,"[""v""]","[""v""]",T4-1,1,,pending,
4280088,Polytrichum formosum,kystbjørnemose,v;s-[KA·e|f],"[""v"", ""s-""]","[""v"", ""s-""]",T4-2,1,,pending,
2683092,Polytrichum juniperinum,einerbjørnemose,v,"[""v""]","[""v""]","T4-14,T4-15,T4-16",3,,pending,
2683092,Polytrichum juniperinum,einerbjørnemose,v*,"[""v*""]","[""v*""]",T4-13,1,,pending,
2683092,Polytrichum juniperinum,einerbjørnemose,v;s-[UF·e|d],"[""v"", ""s-""]","[""v"", ""s-""]","T4-9,T4-10,T4-11,T4-12",4,,pending,
2683058,Polytrichum piliferum,rabbebjørnemose,s*[UF·g|f],"[""s*""]","[""s*""]",T4-15,1,,pending,
2683058,Polytrichum piliferum,rabbebjørnemose,s*[UF∙g|f],"[""s*""]","[""s*""]","T4-13,T4-14",2,,pending,
8011540,Potentilla argentea,sølvmure,,,,T4-15,1,,pending,
8285546,Potentilla crantzii,flekkmure,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-12,1,,pending,
5365576,Potentilla erecta,tepperot,v,"[""v""]","[""v""]",T4-19,1,,pending,
5365576,Potentilla erecta,tepperot,v*,"[""v*""]","[""v*""]",T4-20,1,,pending,
8144051,Primula vulgaris,kusymre,s-[KA∙f|e],"[""s-""]","[""s-""]","T4-3,T4-4",2,,pending,
3020791,Prunus avium,morell,v,"[""v""]","[""v""]","T4-4,T4-8",2,,pending,
5275012,Pteridium aquilinum,einstape,v,"[""v""]","[""v""]","T4-6,T4-7,T4-8",3,,pending,
2688706,Ptilidium ciliare,bakkefrynse,v,"[""v""]","[""v""]","T4-1,T4-5,T4-9,T4-13",4,,pending,
2688706,Ptilidium ciliare,bakkefrynse,v;s-[KA·e|f],"[""v"", ""s-""]","[""v"", ""s-""]","T4-2,T4-6,T4-10",3,,pending,
5283780,Ptilium crista-castrensis,fjærmose,v,"[""v""]","[""v""]","T4-2,T4-3,T4-5,T4-6,T4-7,T4-17",6,,pending,
5283780,Ptilium crista-castrensis,fjærmose,v*,"[""v*""]","[""v*""]",T4-1,1,,pending,
5283780,Ptilium crista-castrensis,fjærmose,v;s+[KA·e|f],"[""v"", ""s+""]","[""v"", ""s+""]","T4-9,T4-10,T4-11",3,,pending,
3928615,Pulsatilla vernalis,mogop,"s+[KA∙e|d],s+[UF·e|d]","[""s+"", ""s+""]","[""s+"", ""s+""]",T4-10,1,,pending,
3928615,Pulsatilla vernalis,mogop,s+[UF·e|d],"[""s+""]","[""s+""]",T4-11,1,,pending,
2888272,Pyrola minor,perlevintergrønn,s-[KA∙e|d],"[""s-""]","[""s-""]",T4-2,1,,pending,
2888272,Pyrola minor,perlevintergrønn,v,"[""v""]","[""v""]",T4-4,1,,pending,
2888272,Pyrola minor,perlevintergrønn,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]",T4-18,1,,pending,
2888272,Pyrola minor,perlevintergrønn,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-3,1,,pending,
2888272,Pyrola minor,perlevintergrønn,v;s-[UF∙c|d],"[""v"", ""s-""]","[""v"", ""s-""]","T4-7,T4-8",2,,pending,
2673622,Racomitrium lanuginosum,heigråmose,"m[O3-O2],v[O2–O3]","[""m"", ""v""]","[""m"", ""v""]",T4-9,1,,pending,
2673622,Racomitrium lanuginosum,heigråmose,"m[O3–O2],v*[O3–O2]","[""m"", ""v*""]","[""m"", ""v*""]","T4-10,T4-13,T4-14",3,,pending,
3033363,Ranunculus acris,bakkesoleie,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-18,1,,pending,
3039491,Rhamnus cathartica,geitved,v;s*[KA∙h|g],"[""v"", ""s*""]","[""v"", ""s*""]",T4-12,1,,pending,
5282529,Rhodobryum roseum,rosettmose,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-3,T4-18",2,,pending,
2679711,Rhytidiadelphus loreus,kystkransmose,"m[O3–O2],v[O3–O1]","[""m"", ""v""]","[""m"", ""v""]",T4-1,1,,pending,
2679711,Rhytidiadelphus loreus,kystkransmose,v[O3–O1],"[""v""]","[""v""]",T4-5,1,,pending,
7871586,Rhytidiadelphus subpinnatus,fjærkransmose,v,"[""v""]","[""v""]",T4-17,1,,pending,
7871586,Rhytidiadelphus subpinnatus,fjærkransmose,v*,"[""v*""]","[""v*""]",T4-18,1,,pending,
7871586,Rhytidiadelphus subpinnatus,fjærkransmose,v;s-[KA∙d|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-2,1,,pending,
7871586,Rhytidiadelphus subpinnatus,fjærkransmose,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-1,T4-3",2,,pending,
7871586,Rhytidiadelphus subpinnatus,fjærkransmose,v;s-[UF∙d|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-6,1,,pending,
2679713,Rhytidium rugosum,labbmose,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]","T4-12,T4-16",2,,pending,
3002263,Rosa majalis,kanelrose,s+[KA∙h|g],"[""s+""]","[""s+""]","T4-8,T4-12,T4-16",3,,pending,
2992808,Rubus saxatilis,teiebær,s*[KA∙d|c],"[""s*""]","[""s*""]","T4-2,T4-10",2,,pending,
2992808,Rubus saxatilis,teiebær,v,"[""v""]","[""v""]","T4-3,T4-7,T4-16",3,,pending,
2992808,Rubus saxatilis,teiebær,v*,"[""v*""]","[""v*""]","T4-4,T4-8",2,,pending,
2992808,Rubus saxatilis,teiebær,v;s*[KA∙d|c],"[""v"", ""s*""]","[""v"", ""s*""]",T4-6,1,,pending,
2992808,Rubus saxatilis,teiebær,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-15,1,,pending,
2992808,Rubus saxatilis,teiebær,v;s-[UF∙f|g],"[""v"", ""s-""]","[""v"", ""s-""]","T4-11,T4-12",2,,pending,
2888995,Rumex acetosella,småsyre,"s-[KA∙d|c],s-[UF∙e|d]","[""s-"", ""s-""]","[""s-"", ""s-""]",T4-10,1,,pending,
2888995,Rumex acetosella,småsyre,s-[KA∙f|e],"[""s-""]","[""s-""]",T4-15,1,,pending,
2888995,Rumex acetosella,småsyre,s-[UF∙e|d],"[""s-""]","[""s-""]",T4-11,1,,pending,
7266759,Salix starkeana,blåvier,s*[KA∙h|g],"[""s*""]","[""s*""]",T4-15,1,,pending,
6027128,Sanicula europaea,sanikel,s+[KA·g|f],"[""s+""]","[""s+""]",T4-3,1,,pending,
6027128,Sanicula europaea,sanikel,v,"[""v""]","[""v""]",T4-4,1,,pending,
4126109,Schedonorus giganteus,kjempesvingel,s*[KA·f|e],"[""s*""]","[""s*""]","T4-3,T4-4",2,,pending,
7493910,Sciuro-hypnum reflexum,sprikelundmose,v,"[""v""]","[""v""]",T4-17,1,,pending,
7493910,Sciuro-hypnum reflexum,sprikelundmose,v*,"[""v*""]","[""v*""]",T4-18,1,,pending,
7493910,Sciuro-hypnum reflexum,sprikelundmose,v*;s-[UF∙b|c],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-3,1,,pending,
7493910,Sciuro-hypnum reflexum,sprikelundmose,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-1,T4-2",2,,pending,
7430843,Sciuro-hypnum starkei,strølundmose,s+[KA·d|c],"[""s+""]","[""s+""]",T4-17,1,,pending,
3170886,Scrophularia nodosa,brunrot,s-[KA·g|f],"[""s-""]","[""s-""]",T4-3,1,,pending,
3170886,Scrophularia nodosa,brunrot,s-[KA·h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
5362007,Sedum acre,bitterbergknapp,v;s+[UF∙g|f],"[""v"", ""s+""]","[""v"", ""s+""]","T4-15,T4-16",2,,pending,
5362008,Sedum album,hvitbergknapp,s*[KA∙g|f],"[""s*""]","[""s*""]",T4-15,1,,pending,
5362008,Sedum album,hvitbergknapp,s-[KA∙h|g],"[""s-""]","[""s-""]",T4-16,1,,pending,
5384795,Silene dioica,rød jonsokblom,v;s-[KA·e|d],"[""v"", ""s-""]","[""v"", ""s-""]","T4-2,T4-17",2,,pending,
5384795,Silene dioica,rød jonsokblom,v;s-[KA·f|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-3,T4-4,T4-18",3,,pending,
6446462,Solidago virgaurea,gullris,v,"[""v""]","[""v""]","T4-3,T4-4,T4-10,T4-17,T4-18,T4-19,T4-20",7,,pending,
6446462,Solidago virgaurea,gullris,"v;s-[KA∙d|c],s-[UF∙b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-2,1,,pending,
6446462,Solidago virgaurea,gullris,"v;s-[KA∙d|c],s-[UF∙d|e]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-6,1,,pending,
6446462,Solidago virgaurea,gullris,"v;s-[KA∙f|e],s-[UF∙d|e]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-7,1,,pending,
6446462,Solidago virgaurea,gullris,"v;s-[KA∙f|e],s-[UF∙f|g]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-11,1,,pending,
6446462,Solidago virgaurea,gullris,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-1,1,,pending,
6446462,Solidago virgaurea,gullris,v;s-[UF∙d|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-8,1,,pending,
6446462,Solidago virgaurea,gullris,v;s-[UF∙f|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-12,1,,pending,
3012167,Sorbus aucuparia,rogn,v,"[""v""]","[""v""]","T4-5,T4-10,T4-16,T4-19,T4-20",5,,pending,
3012167,Sorbus aucuparia,rogn,v*,"[""v*""]","[""v*""]","T4-1,T4-2,T4-3,T4-4,T4-6,T4-7,T4-8,T4-11,T4-12,T4-17,T4-18",11,,pending,
8227194,Sphagnum capillifolium,furutorvmose,v,"[""v""]","[""v""]","T4-9,T4-13",2,,pending,
2669241,Sphagnum girgensohnii,grantorvmose,m;v,"[""m"", ""v""]","[""m"", ""v""]",T4-1,1,,pending,
2669241,Sphagnum girgensohnii,grantorvmose,v,"[""v""]","[""v""]","T4-2,T4-5,T4-17",3,,pending,
2669139,Sphagnum quinquefarium,lyngtorvmose,v,"[""v""]","[""v""]","T4-1,T4-5,T4-9",3,,pending,
2669139,Sphagnum quinquefarium,lyngtorvmose,v;s-[KA∙e|f],"[""v"", ""s-""]","[""v"", ""s-""]",T4-6,1,,pending,
2668970,Sphagnum russowii,tvaretorvmose,v,"[""v""]","[""v""]","T4-1,T4-5",2,,pending,
2927282,Stachys sylvatica,skogsvinerot,s*[KA∙f|e],"[""s*""]","[""s*""]",T4-18,1,,pending,
6363434,Stellaria nemorum,skogstjerneblom,"s-[KA·f|e],s-[KI·b|a]","[""s-"", ""s-""]","[""s-"", ""s-""]",T4-18,1,,pending,
2608513,Stereocaulon,saltlav,v,"[""v""]","[""v""]","T4-13,T4-14",2,,pending,
2888811,Succisa pratensis,blåknapp,v;s+[UF·c|b],"[""v"", ""s+""]","[""v"", ""s+""]",T4-19,1,,pending,
2888811,Succisa pratensis,blåknapp,v;s-[UF·e|d],"[""v"", ""s-""]","[""v"", ""s-""]",T4-20,1,,pending,
5341443,Thymus pulegioides,bakketimian,s*[KA∙h|g],"[""s*""]","[""s*""]",T4-16,1,,pending,
2671369,Tortella tortuosa,putevrimose,v;s+[KA·h|g],"[""v"", ""s+""]","[""v"", ""s+""]","T4-12,T4-16",2,,pending,
2671369,Tortella tortuosa,putevrimose,v;s-[KA·h|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-8,1,,pending,
7506619,Trilophozia quinquedentata,storhoggtann,v,"[""v""]","[""v""]",T4-1,1,,pending,
3033289,Trollius europaeus,ballblom,m[N],"[""m""]","[""m""]",T4-18,1,,pending,
2882833,Vaccinium myrtillus,blåbær,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-1,T4-2,T4-5,T4-6",4,,pending,
2882833,Vaccinium myrtillus,blåbær,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]",T4-17,1,,pending,
2882833,Vaccinium myrtillus,blåbær,s+[UF∙f|g],"[""s+""]","[""s+""]",T4-12,1,,pending,
2882833,Vaccinium myrtillus,blåbær,v,"[""v""]","[""v""]","T4-4,T4-8,T4-18,T4-19",4,,pending,
2882833,Vaccinium myrtillus,blåbær,v*,"[""v*""]","[""v*""]",T4-7,1,,pending,
2882833,Vaccinium myrtillus,blåbær,v*;s+[UF∙f|g],"[""v*"", ""s+""]","[""v*"", ""s+""]","T4-9,T4-10",2,,pending,
2882833,Vaccinium myrtillus,blåbær,v*;s-[KA·g|h],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-3,1,,pending,
2882833,Vaccinium myrtillus,blåbær,v;s+[UF∙f|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-11,1,,pending,
8073364,Vaccinium uliginosum,blokkebær,"v;s-[KA·c|d],t¤[UF·ef]","[""v"", ""s-"", ""t""]","[""v"", ""s-"", ""t""]",T4-9,1,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]","T4-13,T4-16",2,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,m;v*;s-[UF·c|b],"[""m"", ""v*"", ""s-""]","[""m"", ""v*"", ""s-""]","T4-5,T4-6",2,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,m;v*;s-[UF·f|g],"[""m"", ""v*"", ""s-""]","[""m"", ""v*"", ""s-""]","T4-9,T4-10,T4-11,T4-12",4,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,v,"[""v""]","[""v""]","T4-18,T4-20",2,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,v*,"[""v*""]","[""v*""]","T4-1,T4-2,T4-14,T4-15",4,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,v*;s-[UF·c|b],"[""v*"", ""s-""]","[""v*"", ""s-""]","T4-7,T4-8",2,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,v;s-[KA·e|f],"[""v"", ""s-""]","[""v"", ""s-""]",T4-17,1,,pending,
2882835,Vaccinium vitis-idaea,tyttebær,v;s-[UF·c|d],"[""v"", ""s-""]","[""v"", ""s-""]",T4-19,1,,pending,
2888741,Valeriana sambucifolia,vendelrot,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]",T4-18,1,,pending,
7874883,Veronica chamaedrys,tveskjeggveronika,v,"[""v""]","[""v""]",T4-4,1,,pending,
7874883,Veronica chamaedrys,tveskjeggveronika,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-3,1,,pending,
3172049,Veronica officinalis,legeveronika,v,"[""v""]","[""v""]","T4-4,T4-8",2,,pending,
3172049,Veronica officinalis,legeveronika,v;s*[KA∙d|c],"[""v"", ""s*""]","[""v"", ""s*""]",T4-2,1,,pending,
3172049,Veronica officinalis,legeveronika,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-3,T4-7,T4-18",3,,pending,
3172049,Veronica officinalis,legeveronika,"v;s-[KA∙f|e],s-[UF∙f|g]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-11,1,,pending,
3172049,Veronica officinalis,legeveronika,v;s-[UF∙f|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-12,1,,pending,
2888605,Viburnum opulus,korsved,v,"[""v""]","[""v""]","T4-4,T4-8",2,,pending,
2888605,Viburnum opulus,korsved,v;s-[KA·f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-3,1,,pending,
2888605,Viburnum opulus,korsved,"v;s-[KA∙gf|f],s-[UF∙f|g]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-12,1,,pending,
2974786,Vicia sepium,gjerdevikke,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-3,1,,pending,
2974786,Vicia sepium,gjerdevikke,v;s-[KA∙h|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-4,1,,pending,
2974793,Vicia sylvatica,skogvikke,s*[KA·f|e],"[""s*""]","[""s*""]","T4-3,T4-7",2,,pending,
2974793,Vicia sylvatica,skogvikke,s-[UF·c|b],"[""s-""]","[""s-""]",T4-8,1,,pending,
2974793,Vicia sylvatica,skogvikke,s-[UF·f|g],"[""s-""]","[""s-""]",T4-12,1,,pending,
5331325,Viola biflora,fjellfiol,s+[KA·f|e],"[""s+""]","[""s+""]",T4-18,1,,pending,
7296247,Viola collina,bakkefiol,s-[KA∙h|g],"[""s-""]","[""s-""]","T4-8,T4-12",2,,pending,
7296247,Viola collina,bakkefiol,v;s-[KA∙h|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-4,1,,pending,
5331268,Viola mirabilis,krattfiol,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-4,1,,pending,
7296321,Viola riviniana,skogfiol,"s+[KA∙e|d],s-[UF·b|c]","[""s+"", ""s-""]","[""s+"", ""s-""]",T4-2,1,,pending,
7296321,Viola riviniana,skogfiol,s-[UF∙g|h],"[""s-""]","[""s-""]",T4-16,1,,pending,
7296321,Viola riviniana,skogfiol,v,"[""v""]","[""v""]",T4-8,1,,pending,
7296321,Viola riviniana,skogfiol,"v*;s+[KA∙f|e],s-[UF·b|c]","[""v*"", ""s+"", ""s-""]","[""v*"", ""s+"", ""s-""]",T4-3,1,,pending,
7296321,Viola riviniana,skogfiol,v*;s-[UF·b|c],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-4,1,,pending,
7296321,Viola riviniana,skogfiol,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]",T4-7,1,,pending,
7296321,Viola riviniana,skogfiol,"v;s+[KA∙f|e],s-[UF∙f|g]","[""v"", ""s+"", ""s-""]","[""v"", ""s+"", ""s-""]",T4-11,1,,pending,
7296321,Viola riviniana,skogfiol,v;s-[UF∙f|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-12,1,,pending,
7296242,Viola rupestris,grusfiol,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-12,1,,pending,
